                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0366,                 1.9753,                 1.1742,                0.62133,                0.67309,                0.69368,                0.53924,                0.85213,                 1.0086,                 1.0768,               0.070189,              0.0033124,              0.0033124
                      1,                0.90971,                 1.1034,                 1.0804,                0.72423,                0.66478,                0.71344,                0.54765,                0.88153,                0.94563,                 1.0731,               0.040079,               0.006536,               0.006536
                      2,                0.94164,                 1.0858,                 1.0917,                0.66735,                0.62852,                0.69398,                0.52137,                0.92533,                 1.0423,                 1.1038,              0.0098594,              0.0096497,              0.0096497
                      3,                0.97758,                 1.0987,                 1.1162,                0.73448,                0.59497,                0.68284,                0.49893,                0.97653,                 1.0439,                 1.1464,               0.009505,               0.009505,               0.009505
                      4,                 0.9899,                 1.0779,                 1.1097,                0.72121,                0.66192,                0.72224,                0.53693,                0.96465,                0.96921,                 1.1341,               0.009505,               0.009505,               0.009505
                      5,                0.96794,                 1.0291,                 1.1046,                0.69295,                0.62083,                0.67103,                0.49729,                0.96482,                 1.0526,                 1.1389,                0.00934,                0.00934,                0.00934
                      6,                0.94379,                 1.0058,                 1.0931,                  0.745,                0.68999,                0.75294,                0.56827,                0.91891,                0.87657,                 1.1162,               0.009175,               0.009175,               0.009175
                      7,                0.93627,                0.97481,                 1.0854,                 0.7645,                0.67886,                0.77037,                0.59246,                0.90827,                0.86724,                 1.1013,                0.00901,                0.00901,                0.00901
                      8,                0.92535,                0.95106,                 1.0775,                0.78787,                 0.6983,                0.77767,                0.59758,                0.90429,                0.84955,                 1.0937,               0.008845,               0.008845,               0.008845
                      9,                0.91798,                0.94544,                  1.079,                0.79177,                0.67681,                0.77605,                0.59456,                0.89272,                0.87729,                 1.0921,                0.00868,                0.00868,                0.00868
                     10,                0.90312,                0.92866,                 1.0696,                0.77517,                0.68729,                0.76609,                0.57676,                0.91667,                0.88188,                  1.109,               0.008515,               0.008515,               0.008515
                     11,                0.89203,                0.89762,                 1.0697,                0.80279,                0.69747,                0.79252,                0.60875,                0.89254,                0.84023,                 1.1007,                0.00835,                0.00835,                0.00835
                     12,                0.88181,                0.89695,                 1.0625,                0.80812,                0.70757,                0.80188,                0.61182,                0.90786,                0.83334,                 1.1047,               0.008185,               0.008185,               0.008185
                     13,                0.86755,                 0.8784,                 1.0544,                0.78062,                0.71514,                0.78442,                0.60538,                 0.8749,                 0.8067,                 1.0788,                0.00802,                0.00802,                0.00802
                     14,                0.87079,                0.86211,                 1.0505,                 0.7888,                0.72726,                0.81176,                0.64047,                0.84638,                0.78876,                 1.0584,               0.007855,               0.007855,               0.007855
                     15,                0.86203,                0.85475,                 1.0449,                0.79511,                0.72205,                0.81282,                0.63122,                0.85811,                 0.8023,                 1.0698,                0.00769,                0.00769,                0.00769
                     16,                0.85306,                0.83011,                 1.0434,                 0.7934,                 0.7291,                0.80974,                0.63037,                0.87759,                0.78794,                 1.0837,               0.007525,               0.007525,               0.007525
                     17,                0.83475,                0.80908,                 1.0307,                 0.7791,                0.74298,                 0.8054,                0.62795,                0.85109,                0.77849,                 1.0669,                0.00736,                0.00736,                0.00736
                     18,                0.82969,                 0.7982,                 1.0306,                0.82496,                0.71976,                0.82252,                0.64875,                0.83838,                0.76699,                 1.0629,               0.007195,               0.007195,               0.007195
                     19,                0.82715,                0.78782,                 1.0231,                0.82999,                0.72438,                0.81809,                0.64818,                0.83556,                 0.7539,                 1.0518,                0.00703,                0.00703,                0.00703
                     20,                  0.815,                0.77406,                 1.0232,                0.80493,                0.74827,                0.82887,                0.65448,                0.83107,                0.74138,                 1.0519,               0.006865,               0.006865,               0.006865
                     21,                0.80978,                0.78299,                 1.0239,                 0.7986,                0.76583,                0.82908,                0.65793,                0.82054,                0.75066,                 1.0543,                 0.0067,                 0.0067,                 0.0067
                     22,                0.79811,                0.76115,                 1.0133,                0.83279,                0.73583,                0.82637,                0.65342,                0.81506,                0.73899,                 1.0439,               0.006535,               0.006535,               0.006535
                     23,                0.79938,                0.75768,                 1.0151,                0.80949,                0.76392,                0.83166,                0.66595,                0.81816,                0.74505,                 1.0489,                0.00637,                0.00637,                0.00637
                     24,                0.79274,                0.74645,                 1.0162,                0.81722,                0.75537,                0.83295,                0.66029,                0.82836,                0.73293,                 1.0557,               0.006205,               0.006205,               0.006205
                     25,                0.78699,                0.74324,                 1.0105,                0.82172,                0.72845,                0.82262,                0.64901,                0.83452,                0.73959,                 1.0559,                0.00604,                0.00604,                0.00604
                     26,                0.77778,                0.73006,                 1.0068,                0.79988,                0.76913,                0.83098,                0.65757,                0.82031,                0.71982,                 1.0541,               0.005875,               0.005875,               0.005875
                     27,                0.76676,                0.72094,                 1.0019,                0.82588,                0.75095,                0.84065,                0.67153,                0.81849,                0.72692,                 1.0532,                0.00571,                0.00571,                0.00571
                     28,                0.76143,                0.72224,                0.99721,                0.81697,                0.74955,                0.83871,                0.67256,                0.80906,                0.73336,                 1.0518,               0.005545,               0.005545,               0.005545
                     29,                0.76413,                0.71126,                0.99774,                0.76557,                0.78984,                0.83668,                0.66835,                0.81687,                0.72304,                 1.0514,                0.00538,                0.00538,                0.00538
                     30,                0.75292,                0.68576,                0.99012,                0.78932,                0.78814,                0.84124,                0.67598,                0.80659,                0.70394,                  1.044,               0.005215,               0.005215,               0.005215
                     31,                 0.7492,                0.69064,                0.99284,                0.80518,                0.77063,                0.84336,                0.67827,                0.80557,                0.70237,                 1.0551,                0.00505,                0.00505,                0.00505
                     32,                0.74451,                0.68412,                0.99197,                0.82152,                 0.7669,                0.84864,                0.68008,                 0.8019,                0.66758,                 1.0399,               0.004885,               0.004885,               0.004885
