                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.73673,                0.67586,                0.97974,                 0.8305,                0.76759,                0.84769,                 0.6795,                0.79829,                 0.6921,                 1.0361,                0.00472,                0.00472,                0.00472
                     34,                0.72593,                0.66471,                0.98022,                0.78509,                0.79201,                0.84191,                0.67273,                0.79105,                0.66884,                 1.0329,               0.004555,               0.004555,               0.004555
                     35,                 0.7185,                0.65558,                0.97736,                 0.8479,                0.73941,                 0.8487,                0.68666,                0.78368,                 0.6794,                 1.0278,                0.00439,                0.00439,                0.00439
                     36,                0.72038,                0.64905,                0.97539,                0.83017,                0.76665,                0.84891,                0.68178,                0.80162,                 0.6927,                 1.0428,               0.004225,               0.004225,               0.004225
                     37,                0.71383,                0.64591,                0.97525,                0.83535,                0.76454,                0.85115,                 0.6802,                0.78981,                0.68058,                 1.0358,                0.00406,                0.00406,                0.00406
                     38,                0.70787,                0.63399,                0.97175,                0.83929,                0.74413,                0.84062,                0.68114,                0.78699,                0.71421,                 1.0307,               0.003895,               0.003895,               0.003895
                     39,                0.70578,                0.62852,                0.96543,                0.83917,                  0.758,                0.84666,                0.68805,                0.79262,                0.68228,                 1.0342,                0.00373,                0.00373,                0.00373
                     40,                0.70094,                0.62204,                0.96871,                0.85116,                0.73282,                0.84455,                0.68197,                0.79399,                0.69276,                 1.0376,               0.003565,               0.003565,               0.003565
                     41,                0.68885,                0.61872,                0.96364,                0.82102,                0.78216,                0.84444,                0.68171,                0.78726,                0.67609,                 1.0376,                 0.0034,                 0.0034,                 0.0034
                     42,                0.68862,                0.61027,                0.96431,                0.85048,                0.76298,                0.85759,                0.69013,                0.78112,                0.65988,                 1.0319,               0.003235,               0.003235,               0.003235
                     43,                0.67847,                0.59218,                0.95888,                0.81534,                0.77716,                0.84798,                0.68637,                0.78532,                0.67061,                 1.0346,                0.00307,                0.00307,                0.00307
                     44,                0.68063,                 0.5996,                0.95718,                0.84207,                0.75039,                0.84831,                0.68946,                0.77694,                0.67581,                 1.0299,               0.002905,               0.002905,               0.002905
                     45,                0.67325,                0.58814,                0.95843,                0.82241,                0.77498,                0.84247,                0.68213,                0.78489,                0.68824,                  1.038,                0.00274,                0.00274,                0.00274
                     46,                0.66751,                0.57772,                0.95619,                0.85368,                 0.7528,                0.84673,                0.68788,                0.78168,                0.66729,                 1.0314,               0.002575,               0.002575,               0.002575
                     47,                0.65859,                0.57728,                0.94636,                0.86742,                0.75122,                0.85543,                0.69466,                0.77823,                0.66486,                 1.0314,                0.00241,                0.00241,                0.00241
                     48,                0.65983,                  0.558,                0.94711,                0.84725,                0.76667,                0.85384,                0.69651,                0.77531,                0.65998,                 1.0312,               0.002245,               0.002245,               0.002245
                     49,                0.65076,                0.55494,                0.94453,                 0.8126,                0.79727,                0.85479,                0.69482,                0.77527,                0.66705,                 1.0319,                0.00208,                0.00208,                0.00208
                     50,                0.61203,                0.49267,                0.92223,                0.84985,                0.76445,                0.84655,                0.68908,                0.77276,                0.66629,                 1.0277,               0.001915,               0.001915,               0.001915
                     51,                0.60053,                0.48711,                0.91645,                0.84984,                 0.7632,                0.85627,                0.69664,                0.76958,                0.65534,                 1.0302,                0.00175,                0.00175,                0.00175
                     52,                0.59722,                0.48219,                 0.9163,                0.82697,                0.79725,                0.85472,                0.69774,                0.77944,                0.66144,                 1.0347,               0.001585,               0.001585,               0.001585
                     53,                0.59076,                 0.4695,                0.91509,                0.83596,                0.77609,                0.85478,                0.70004,                 0.7755,                0.66168,                 1.0303,                0.00142,                0.00142,                0.00142
                     54,                0.58361,                0.46166,                0.90876,                0.82615,                0.77994,                0.84956,                0.69492,                0.76752,                0.66223,                 1.0293,               0.001255,               0.001255,               0.001255
                     55,                0.57848,                0.45064,                0.90666,                0.84534,                0.77609,                 0.8512,                0.69757,                0.76173,                0.66532,                 1.0245,                0.00109,                0.00109,                0.00109
                     56,                0.57259,                0.45204,                0.90341,                0.84081,                 0.7745,                0.85086,                 0.6966,                0.76517,                0.66505,                 1.0276,               0.000925,               0.000925,               0.000925
                     57,                0.56904,                 0.4394,                0.90467,                0.86244,                0.75134,                0.84567,                0.69549,                0.76816,                0.69233,                  1.031,                0.00076,                0.00076,                0.00076
                     58,                 0.5636,                0.43478,                0.90223,                0.85255,                0.77195,                0.84827,                 0.6946,                0.76126,                0.67485,                 1.0309,               0.000595,               0.000595,               0.000595
                     59,                0.56047,                0.43325,                0.90125,                0.84393,                0.77365,                0.85078,                0.69658,                0.76006,                0.66546,                 1.0293,                0.00043,                0.00043,                0.00043
