                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77916,                0.74142,                 1.0094,                 0.7943,                0.73528,                0.82269,                0.65038,                0.82123,                0.75243,                 1.0582,               0.008878,               0.008878,               0.008878
                     36,                0.78849,                0.73562,                 1.0091,                0.82811,                0.72793,                0.82585,                0.65573,                0.83229,                0.72899,                 1.0574,               0.008845,               0.008845,               0.008845
                     37,                0.78026,                0.73098,                 1.0082,                0.81598,                0.71993,                0.81251,                0.64888,                 0.8205,                0.74795,                 1.0526,               0.008812,               0.008812,               0.008812
                     38,                0.77533,                0.72136,                 1.0045,                0.83177,                0.73722,                 0.8172,                0.65524,                0.81147,                0.73346,                 1.0554,               0.008779,               0.008779,               0.008779
                     39,                0.77618,                 0.7178,                 1.0047,                0.81295,                0.76269,                0.81993,                0.65259,                0.81767,                0.72004,                 1.0486,               0.008746,               0.008746,               0.008746
                     40,                0.77349,                0.72383,                 1.0031,                0.76893,                0.78198,                0.82804,                0.66251,                0.81569,                0.72784,                 1.0463,               0.008713,               0.008713,               0.008713
                     41,                0.76532,                0.71896,                 1.0029,                0.82063,                0.74885,                0.83968,                0.67314,                0.81272,                0.71776,                 1.0545,                0.00868,                0.00868,                0.00868
                     42,                0.76849,                 0.7076,                 1.0023,                0.80078,                0.75827,                0.82621,                0.65058,                0.83056,                0.72687,                 1.0555,               0.008647,               0.008647,               0.008647
                     43,                0.75869,                0.69413,                0.99463,                0.82774,                0.74114,                0.83501,                0.66598,                0.80519,                0.70797,                 1.0457,               0.008614,               0.008614,               0.008614
                     44,                0.76509,                0.70286,                0.99635,                0.79124,                0.76657,                0.81962,                0.64857,                 0.8069,                0.70518,                  1.045,               0.008581,               0.008581,               0.008581
                     45,                 0.7555,                0.69986,                0.99495,                0.80925,                0.78311,                0.84197,                0.67439,                0.79716,                0.72594,                 1.0344,               0.008548,               0.008548,               0.008548
                     46,                0.75004,                 0.6846,                0.99035,                0.76819,                0.77944,                0.81363,                0.64795,                0.80785,                 0.6972,                  1.051,               0.008515,               0.008515,               0.008515
                     47,                0.74647,                0.68316,                0.98494,                0.82971,                0.77872,                 0.8436,                0.67688,                0.80666,                0.69039,                 1.0491,               0.008482,               0.008482,               0.008482
                     48,                0.75278,                0.67454,                0.99029,                0.82641,                 0.7808,                0.83961,                0.67347,                0.80906,                0.71142,                 1.0482,               0.008449,               0.008449,               0.008449
                     49,                0.74599,                0.67301,                0.98329,                0.81143,                0.78663,                 0.8457,                0.67583,                 0.8047,                0.69306,                 1.0418,               0.008416,               0.008416,               0.008416
                     50,                0.73733,                0.66824,                0.97992,                0.81699,                 0.7451,                0.82268,                 0.6628,                0.80184,                 0.7234,                 1.0452,               0.008383,               0.008383,               0.008383
                     51,                0.74068,                0.67967,                0.98708,                0.81032,                0.78009,                0.84609,                0.67639,                0.80512,                0.69217,                 1.0562,                0.00835,                0.00835,                0.00835
                     52,                0.73882,                0.67727,                0.98549,                0.81144,                0.76231,                0.83428,                0.66565,                0.80845,                0.71479,                  1.048,               0.008317,               0.008317,               0.008317
                     53,                0.74133,                0.67732,                0.98689,                0.82579,                0.76408,                0.83556,                0.66813,                0.81239,                0.71976,                 1.0566,               0.008284,               0.008284,               0.008284
                     54,                 0.7339,                 0.6638,                0.98593,                0.83818,                  0.747,                0.83374,                0.66606,                0.80095,                0.68826,                 1.0453,               0.008251,               0.008251,               0.008251
                     55,                0.71961,                0.64873,                0.97592,                0.82023,                0.75564,                0.83238,                 0.6663,                0.79133,                0.69107,                 1.0408,               0.008218,               0.008218,               0.008218
                     56,                0.72617,                0.66056,                0.98029,                0.81566,                0.75634,                0.83078,                0.66359,                0.80335,                0.71202,                 1.0385,               0.008185,               0.008185,               0.008185
