                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.7587,                0.96351,                0.99555,                0.65984,                0.32243,                0.37995,                0.31158,                0.82556,                  1.148,                 1.0559,               0.006634,               0.006634,               0.006634
                     36,                 0.7523,                0.94378,                0.99551,                0.71254,                0.36307,                0.41233,                0.34556,                0.81537,                 1.1544,                 1.0608,               0.006535,               0.006535,               0.006535
                     37,                0.73881,                0.92429,                0.99038,                0.66532,                 0.3671,                0.39308,                0.32852,                0.81701,                 1.1764,                 1.0605,               0.006436,               0.006436,               0.006436
                     38,                0.73712,                0.91123,                0.98735,                0.72748,                0.34115,                0.41143,                0.34501,                0.81028,                 1.1502,                 1.0551,               0.006337,               0.006337,               0.006337
                     39,                0.74299,                0.91285,                0.98712,                0.62348,                0.36742,                0.40374,                0.33947,                0.81069,                 1.1356,                 1.0573,               0.006238,               0.006238,               0.006238
                     40,                0.73545,                0.90396,                0.98865,                0.68747,                0.36644,                0.39134,                0.32396,                0.81824,                 1.1338,                 1.0583,               0.006139,               0.006139,               0.006139
                     41,                0.73192,                0.89141,                0.98206,                0.68981,                0.35645,                0.41189,                0.34564,                 0.8024,                  1.135,                 1.0529,                0.00604,                0.00604,                0.00604
                     42,                 0.7258,                0.87162,                0.97917,                0.67141,                0.38702,                0.41256,                0.34766,                0.81132,                 1.1445,                 1.0595,               0.005941,               0.005941,               0.005941
                     43,                0.71085,                0.86902,                 0.9753,                0.70141,                0.36951,                0.41138,                0.34545,                0.81025,                  1.122,                  1.053,               0.005842,               0.005842,               0.005842
                     44,                0.71262,                0.85412,                0.97282,                0.68654,                0.34833,                0.41382,                0.34747,                0.81084,                 1.1341,                 1.0545,               0.005743,               0.005743,               0.005743
                     45,                0.71749,                0.84635,                0.97382,                0.64841,                 0.3555,                0.41124,                 0.3474,                0.79796,                 1.1797,                 1.0525,               0.005644,               0.005644,               0.005644
                     46,                0.71353,                0.83799,                0.97863,                0.68641,                0.37375,                0.41398,                0.34888,                0.79843,                 1.1501,                 1.0489,               0.005545,               0.005545,               0.005545
                     47,                 0.7053,                0.82627,                0.97552,                0.70627,                0.36528,                0.41407,                0.34643,                0.80288,                 1.1179,                 1.0485,               0.005446,               0.005446,               0.005446
                     48,                0.70327,                0.81621,                 0.9692,                0.76045,                 0.3479,                0.43074,                0.35963,                0.80345,                 1.1153,                 1.0525,               0.005347,               0.005347,               0.005347
                     49,                0.70091,                0.81318,                0.97045,                0.71276,                0.36624,                0.44477,                0.37235,                 0.7967,                 1.1144,                 1.0426,               0.005248,               0.005248,               0.005248
                     50,                0.69521,                0.79432,                0.96666,                0.72192,                0.36886,                0.43338,                0.36641,                0.80282,                 1.1393,                 1.0591,               0.005149,               0.005149,               0.005149
                     51,                0.69814,                 0.7977,                0.96939,                 0.6426,                0.37147,                0.43171,                0.36404,                0.79405,                  1.123,                 1.0532,                0.00505,                0.00505,                0.00505
                     52,                0.68072,                0.76611,                0.96364,                0.72705,                0.35734,                0.41995,                0.35571,                0.79173,                 1.1575,                 1.0476,               0.004951,               0.004951,               0.004951
                     53,                0.68797,                0.77299,                 0.9626,                0.60742,                 0.3871,                0.44581,                0.37628,                0.78506,                  1.097,                  1.043,               0.004852,               0.004852,               0.004852
                     54,                0.68174,                0.75846,                0.95803,                0.70133,                  0.376,                0.44209,                0.37337,                0.79973,                 1.1321,                 1.0512,               0.004753,               0.004753,               0.004753
